,sector1,sector2,sector3,sector4,sector5,sector6,sector7,sector8,sector9,sector10,sector11,sector12,sector13,sector14,sector15,sector16,sector17,sector18,sector19,sector20,sector21,sector22,sector23,sector24,sector25,sector26,sector27,sector28,sector29,sector30
119,2.0,147.0,73.0,54.0,166.0,0.0,3.0,0.0,0.0,0.0,410.0,158.0,60.0,0.0,0.0,39.0,30.0,35.0,0.0,877.0,72.0,466.0,105.0,613.0,975.0,203.0,488.0,2322.0,1769.0,861.0
120,0.0,189.0,82.0,32.0,266.0,0.0,0.0,0.0,0.0,0.0,476.0,311.0,43.0,0.0,0.0,60.0,29.0,50.0,0.0,1436.0,78.0,439.0,88.0,567.0,1021.0,99.0,305.0,2620.0,1819.0,939.0
121,3.0,459.0,1007.0,36.0,86.0,3.0,16.0,0.0,5.0,0.0,360.0,298.0,39.0,0.0,0.0,32.0,24.0,36.0,0.0,991.0,54.0,487.0,78.0,766.0,944.0,260.0,339.0,2748.0,1280.0,1061.0
122,0.0,253.0,625.0,25.0,73.0,0.0,8.0,0.0,0.0,0.0,574.0,574.0,18.0,0.0,0.0,28.0,0.0,42.0,2.0,589.0,85.0,738.0,111.0,505.0,906.0,169.0,451.0,1955.0,1459.0,863.0
123,2.0,207.0,203.0,39.0,101.0,16.0,0.0,0.0,0.0,0.0,601.0,430.0,28.0,0.0,5.0,11.0,4.0,0.0,0.0,785.0,126.0,552.0,74.0,424.0,1111.0,152.0,448.0,2209.0,1721.0,1137.0
124,0.0,125.0,145.0,35.0,121.0,45.0,3.0,0.0,0.0,0.0,476.0,326.0,22.0,0.0,0.0,12.0,0.0,19.0,0.0,774.0,82.0,686.0,77.0,509.0,1795.0,233.0,388.0,2291.0,1554.0,859.0
125,0.0,244.0,126.0,8.0,49.0,74.0,9.0,0.0,0.0,0.0,584.0,205.0,38.0,4.0,0.0,15.0,0.0,6.0,4.0,720.0,97.0,640.0,64.0,419.0,1499.0,442.0,358.0,2460.0,1502.0,2653.0
126,3.0,86.0,109.0,23.0,31.0,51.0,2.0,0.0,0.0,0.0,635.0,195.0,136.0,0.0,0.0,7.0,10.0,22.0,5.0,542.0,87.0,607.0,51.0,551.0,1790.0,187.0,365.0,2065.0,1406.0,1060.0
127,0.0,71.0,85.0,27.0,20.0,67.0,3.0,0.0,0.0,0.0,682.0,109.0,21.0,0.0,0.0,12.0,11.0,19.0,8.0,631.0,76.0,629.0,41.0,557.0,1406.0,154.0,568.0,2008.0,1797.0,996.0
128,0.0,86.0,141.0,34.0,79.0,77.0,15.0,0.0,0.0,0.0,508.0,178.0,41.0,0.0,0.0,26.0,10.0,59.0,0.0,709.0,53.0,618.0,33.0,533.0,1227.0,173.0,440.0,1950.0,1835.0,1062.0
129,0.0,82.0,236.0,5.0,80.0,80.0,10.0,0.0,0.0,0.0,683.0,265.0,27.0,0.0,0.0,34.0,0.0,19.0,0.0,576.0,92.0,558.0,56.0,493.0,1212.0,311.0,409.0,2147.0,1516.0,1760.0
130,0.0,119.0,159.0,42.0,42.0,105.0,17.0,0.0,0.0,6.0,506.0,107.0,27.0,0.0,0.0,50.0,10.0,18.0,14.0,570.0,141.0,750.0,55.0,325.0,1149.0,294.0,540.0,1684.0,1823.0,1286.0
131,0.0,44.0,128.0,72.0,136.0,72.0,12.0,0.0,0.0,0.0,476.0,141.0,24.0,0.0,0.0,58.0,13.0,28.0,12.0,590.0,159.0,529.0,46.0,396.0,1435.0,177.0,668.0,1521.0,1928.0,1072.0
132,0.0,103.0,167.0,9.0,162.0,77.0,9.0,0.0,0.0,0.0,538.0,96.0,29.0,0.0,0.0,12.0,0.0,0.0,5.0,666.0,228.0,620.0,40.0,481.0,1148.0,123.0,373.0,1437.0,1568.0,1301.0
133,3.0,142.0,56.0,14.0,79.0,7.0,5.0,0.0,0.0,0.0,425.0,94.0,21.0,0.0,0.0,9.0,0.0,15.0,0.0,590.0,139.0,464.0,37.0,183.0,1232.0,237.0,321.0,977.0,1974.0,1638.0
134,0.0,110.0,72.0,26.0,45.0,0.0,0.0,0.0,0.0,0.0,431.0,106.0,23.0,0.0,0.0,8.0,5.0,2.0,4.0,607.0,144.0,600.0,42.0,376.0,1052.0,172.0,359.0,1259.0,1817.0,1299.0
135,0.0,21.0,75.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,422.0,128.0,26.0,0.0,0.0,5.0,54.0,2.0,0.0,547.0,121.0,362.0,19.0,421.0,980.0,83.0,509.0,1208.0,2090.0,1281.0
136,0.0,43.0,56.0,29.0,32.0,0.0,0.0,0.0,0.0,0.0,341.0,151.0,20.0,0.0,0.0,0.0,0.0,0.0,12.0,1055.0,118.0,366.0,15.0,379.0,1150.0,383.0,409.0,1006.0,1919.0,1215.0
137,0.0,61.0,89.0,21.0,84.0,0.0,12.0,0.0,0.0,0.0,395.0,349.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,935.0,169.0,418.0,163.0,347.0,1027.0,222.0,494.0,1040.0,1806.0,1201.0
138,0.0,44.0,21.0,18.0,21.0,0.0,37.0,0.0,0.0,0.0,241.0,165.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,618.0,84.0,357.0,23.0,517.0,828.0,162.0,793.0,982.0,1619.0,1261.0
139,0.0,72.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,308.0,133.0,33.0,0.0,0.0,0.0,8.0,0.0,0.0,553.0,46.0,459.0,7.0,607.0,881.0,108.0,468.0,827.0,2041.0,1340.0
140,0.0,24.0,42.0,85.0,43.0,0.0,5.0,0.0,0.0,6.0,555.0,82.0,58.0,0.0,0.0,0.0,0.0,3.0,0.0,456.0,71.0,369.0,26.0,637.0,784.0,174.0,352.0,850.0,1886.0,1363.0
141,0.0,60.0,98.0,65.0,10.0,0.0,13.0,0.0,0.0,0.0,397.0,163.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0,364.0,88.0,259.0,38.0,567.0,917.0,302.0,350.0,1176.0,1846.0,1344.0
142,0.0,98.0,57.0,36.0,97.0,0.0,6.0,0.0,0.0,0.0,296.0,132.0,23.0,0.0,0.0,12.0,7.0,0.0,0.0,609.0,91.0,328.0,28.0,939.0,594.0,286.0,414.0,964.0,1581.0,1407.0
143,0.0,91.0,30.0,15.0,110.0,0.0,23.0,0.0,0.0,0.0,260.0,345.0,37.0,7.0,0.0,0.0,8.0,0.0,2.0,700.0,38.0,305.0,45.0,663.0,1017.0,119.0,466.0,886.0,1970.0,1154.0
144,0.0,16.0,60.0,35.0,38.0,0.0,4.0,0.0,0.0,0.0,276.0,226.0,32.0,0.0,0.0,0.0,0.0,15.0,0.0,477.0,82.0,499.0,145.0,1144.0,755.0,62.0,412.0,809.0,2747.0,1415.0
145,0.0,25.0,43.0,28.0,32.0,0.0,0.0,0.0,0.0,0.0,496.0,284.0,39.0,0.0,0.0,0.0,0.0,0.0,5.0,502.0,105.0,276.0,85.0,1184.0,842.0,122.0,484.0,649.0,2646.0,1407.0
